Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E06000016,Leicester,4,Household is deprived in three dimensions,7624
E06000016,Leicester,5,Household is deprived in four dimensions,639
E06000017,Rutland,-8,Does not apply,0
E06000017,Rutland,1,Household is not deprived in any dimension,9675
E06000017,Rutland,2,Household is deprived in one dimension,5284
E06000017,Rutland,3,Household is deprived in two dimensions,1529
E06000017,Rutland,4,Household is deprived in three dimensions,198
E06000017,Rutland,5,Household is deprived in four dimensions,8
E06000018,Nottingham,-8,Does not apply,0
E06000018,Nottingham,1,Household is not deprived in any dimension,51881
E06000018,Nottingham,2,Household is deprived in one dimension,42946
E06000018,Nottingham,3,Household is deprived in two dimensions,22536
E06000018,Nottingham,4,Household is deprived in three dimensions,7016
E06000018,Nottingham,5,Household is deprived in four dimensions,366
E06000019,Herefordshire,-8,Does not apply,0
E06000019,Herefordshire,1,Household is not deprived in any dimension,40941
E06000019,Herefordshire,2,Household is deprived in one dimension,28690
E06000019,Herefordshire,3,Household is deprived in two dimensions,10761
E06000019,Herefordshire,4,Household is deprived in three dimensions,2284
E06000019,Herefordshire,5,Household is deprived in four dimensions,149
E06000020,Telford and Wrekin,-8,Does not apply,0
E06000020,Telford and Wrekin,1,Household is not deprived in any dimension,35190
E06000020,Telford and Wrekin,2,Household is deprived in one dimension,25928
E06000020,Telford and Wrekin,3,Household is deprived in two dimensions,12129
E06000020,Telford and Wrekin,4,Household is deprived in three dimensions,3138
E06000020,Telford and Wrekin,5,Household is deprived in four dimensions,125
E06000021,Stoke-on-Trent,-8,Does not apply,0
E06000021,Stoke-on-Trent,1,Household is not deprived in any dimension,45368
E06000021,Stoke-on-Trent,2,Household is deprived in one dimension,38581
E06000021,Stoke-on-Trent,3,Household is deprived in two dimensions,20120
E06000021,Stoke-on-Trent,4,Household is deprived in three dimensions,6068
E06000021,Stoke-on-Trent,5,Household is deprived in four dimensions,263
E06000022,Bath and North East Somerset,-8,Does not apply,0
E06000022,Bath and North East Somerset,1,Household is not deprived in any dimension,42870
E06000022,Bath and North East Somerset,2,Household is deprived in one dimension,25495
E06000022,Bath and North East Somerset,3,Household is deprived in two dimensions,8952
E06000022,Bath and North East Somerset,4,Household is deprived in three dimensions,1819
E06000022,Bath and North East Somerset,5,Household is deprived in four dimensions,114
E06000023,Bristol,-8,Does not apply,0
E06000023,Bristol,1,Household is not deprived in any dimension,96135
E06000023,Bristol,2,Household is deprived in one dimension,60901
E06000023,Bristol,3,Household is deprived in two dimensions,26503
E06000023,Bristol,4,Household is deprived in three dimensions,7515
E06000023,Bristol,5,Household is deprived in four dimensions,584
E06000024,North Somerset,-8,Does not apply,0
E06000024,North Somerset,1,Household is not deprived in any dimension,48754
E06000024,North Somerset,2,Household is deprived in one dimension,31684
E06000024,North Somerset,3,Household is deprived in two dimensions,11454
E06000024,North Somerset,4,Household is deprived in three dimensions,2565
E06000024,North Somerset,5,Household is deprived in four dimensions,190
E06000025,South Gloucestershire,-8,Does not apply,0
E06000025,South Gloucestershire,1,Household is not deprived in any dimension,63701
E06000025,South Gloucestershire,2,Household is deprived in one dimension,38638
E06000025,South Gloucestershire,3,Household is deprived in two dimensions,13163
E06000025,South Gloucestershire,4,Household is deprived in three dimensions,2454
E06000025,South Gloucestershire,5,Household is deprived in four dimensions,145
E06000026,Plymouth,-8,Does not apply,0
E06000026,Plymouth,1,Household is not deprived in any dimension,52100
E06000026,Plymouth,2,Household is deprived in one dimension,38898
E06000026,Plymouth,3,Household is deprived in two dimensions,18228
E06000026,Plymouth,4,Household is deprived in three dimensions,5049
E06000026,Plymouth,5,Household is deprived in four dimensions,282
E06000027,Torbay,-8,Does not apply,0
E06000027,Torbay,1,Household is not deprived in any dimension,26537
E06000027,Torbay,2,Household is deprived in one dimension,22606
E06000027,Torbay,3,Household is deprived in two dimensions,10615
E06000027,Torbay,4,Household is deprived in three dimensions,2984
E06000027,Torbay,5,Household is deprived in four dimensions,252
E06000030,Swindon,-8,Does not apply,0
E06000030,Swindon,1,Household is not deprived in any dimension,47251
E06000030,Swindon,2,Household is deprived in one dimension,32397
E06000030,Swindon,3,Household is deprived in two dimensions,12869
E06000030,Swindon,4,Household is deprived in three dimensions,3167
E06000030,Swindon,5,Household is deprived in four dimensions,178
E06000031,Peterborough,-8,Does not apply,0
E06000031,Peterborough,1,Household is not deprived in any dimension,38082
E06000031,Peterborough,2,Household is deprived in one dimension,29514
E06000031,Peterborough,3,Household is deprived in two dimensions,13102
E06000031,Peterborough,4,Household is deprived in three dimensions,3578
E06000031,Peterborough,5,Household is deprived in four dimensions,257
E06000032,Luton,-8,Does not apply,0
E06000032,Luton,1,Household is not deprived in any dimension,32610
E06000032,Luton,2,Household is deprived in one dimension,28763
E06000032,Luton,3,Household is deprived in two dimensions,13520
E06000032,Luton,4,Household is deprived in three dimensions,3732
E06000032,Luton,5,Household is deprived in four dimensions,315
E06000033,Southend-on-Sea,-8,Does not apply,0
E06000033,Southend-on-Sea,1,Household is not deprived in any dimension,35711
E06000033,Southend-on-Sea,2,Household is deprived in one dimension,27058
E06000033,Southend-on-Sea,3,Household is deprived in two dimensions,11979
E06000033,Southend-on-Sea,4,Household is deprived in three dimensions,3277
E06000033,Southend-on-Sea,5,Household is deprived in four dimensions,319
E06000034,Thurrock,-8,Does not apply,0
E06000034,Thurrock,1,Household is not deprived in any dimension,30305
E06000034,Thurrock,2,Household is deprived in one dimension,23194
E06000034,Thurrock,3,Household is deprived in two dimensions,10204
E06000034,Thurrock,4,Household is deprived in three dimensions,2500
E06000034,Thurrock,5,Household is deprived in four dimensions,174
E06000035,Medway,-8,Does not apply,0
E06000035,Medway,1,Household is not deprived in any dimension,51808
E06000035,Medway,2,Household is deprived in one dimension,38410
E06000035,Medway,3,Household is deprived in two dimensions,16523
