Upper tier local authorities Code,Upper tier local authorities,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E08000023,South Tyneside,1,Household is not deprived in any dimension,29586
E08000023,South Tyneside,2,Household is deprived in one dimension,23302
E08000023,South Tyneside,3,Household is deprived in two dimensions,11971
E08000023,South Tyneside,4,Household is deprived in three dimensions,3323
E08000023,South Tyneside,5,Household is deprived in four dimensions,105
E08000024,Sunderland,-8,Does not apply,0
E08000024,Sunderland,1,Household is not deprived in any dimension,50665
E08000024,Sunderland,2,Household is deprived in one dimension,42435
E08000024,Sunderland,3,Household is deprived in two dimensions,22163
E08000024,Sunderland,4,Household is deprived in three dimensions,6645
E08000024,Sunderland,5,Household is deprived in four dimensions,269
E08000025,Birmingham,-8,Does not apply,0
E08000025,Birmingham,1,Household is not deprived in any dimension,171117
E08000025,Birmingham,2,Household is deprived in one dimension,146765
E08000025,Birmingham,3,Household is deprived in two dimensions,78859
E08000025,Birmingham,4,Household is deprived in three dimensions,25045
E08000025,Birmingham,5,Household is deprived in four dimensions,1670
E08000026,Coventry,-8,Does not apply,0
E08000026,Coventry,1,Household is not deprived in any dimension,60360
E08000026,Coventry,2,Household is deprived in one dimension,45659
E08000026,Coventry,3,Household is deprived in two dimensions,21411
E08000026,Coventry,4,Household is deprived in three dimensions,6219
E08000026,Coventry,5,Household is deprived in four dimensions,491
E08000027,Dudley,-8,Does not apply,0
E08000027,Dudley,1,Household is not deprived in any dimension,60524
E08000027,Dudley,2,Household is deprived in one dimension,47358
E08000027,Dudley,3,Household is deprived in two dimensions,23098
E08000027,Dudley,4,Household is deprived in three dimensions,5837
E08000027,Dudley,5,Household is deprived in four dimensions,256
E08000028,Sandwell,-8,Does not apply,0
E08000028,Sandwell,1,Household is not deprived in any dimension,49389
E08000028,Sandwell,2,Household is deprived in one dimension,46055
E08000028,Sandwell,3,Household is deprived in two dimensions,26244
E08000028,Sandwell,4,Household is deprived in three dimensions,8161
E08000028,Sandwell,5,Household is deprived in four dimensions,395
E08000029,Solihull,-8,Does not apply,0
E08000029,Solihull,1,Household is not deprived in any dimension,45378
E08000029,Solihull,2,Household is deprived in one dimension,28916
E08000029,Solihull,3,Household is deprived in two dimensions,12109
E08000029,Solihull,4,Household is deprived in three dimensions,2915
E08000029,Solihull,5,Household is deprived in four dimensions,165
E08000030,Walsall,-8,Does not apply,0
E08000030,Walsall,1,Household is not deprived in any dimension,45129
E08000030,Walsall,2,Household is deprived in one dimension,39289
E08000030,Walsall,3,Household is deprived in two dimensions,21212
E08000030,Walsall,4,Household is deprived in three dimensions,6280
E08000030,Walsall,5,Household is deprived in four dimensions,316
E08000031,Wolverhampton,-8,Does not apply,0
E08000031,Wolverhampton,1,Household is not deprived in any dimension,42414
E08000031,Wolverhampton,2,Household is deprived in one dimension,37053
E08000031,Wolverhampton,3,Household is deprived in two dimensions,19711
E08000031,Wolverhampton,4,Household is deprived in three dimensions,5649
E08000031,Wolverhampton,5,Household is deprived in four dimensions,314
E08000032,Bradford,-8,Does not apply,0
E08000032,Bradford,1,Household is not deprived in any dimension,90141
E08000032,Bradford,2,Household is deprived in one dimension,72227
E08000032,Bradford,3,Household is deprived in two dimensions,35313
E08000032,Bradford,4,Household is deprived in three dimensions,11416
E08000032,Bradford,5,Household is deprived in four dimensions,770
E08000033,Calderdale,-8,Does not apply,0
E08000033,Calderdale,1,Household is not deprived in any dimension,43225
E08000033,Calderdale,2,Household is deprived in one dimension,29923
E08000033,Calderdale,3,Household is deprived in two dimensions,13398
E08000033,Calderdale,4,Household is deprived in three dimensions,3731
E08000033,Calderdale,5,Household is deprived in four dimensions,199
E08000034,Kirklees,-8,Does not apply,0
E08000034,Kirklees,1,Household is not deprived in any dimension,82995
E08000034,Kirklees,2,Household is deprived in one dimension,59593
E08000034,Kirklees,3,Household is deprived in two dimensions,27052
E08000034,Kirklees,4,Household is deprived in three dimensions,7881
E08000034,Kirklees,5,Household is deprived in four dimensions,469
E08000035,Leeds,-8,Does not apply,0
E08000035,Leeds,1,Household is not deprived in any dimension,164958
E08000035,Leeds,2,Household is deprived in one dimension,112338
E08000035,Leeds,3,Household is deprived in two dimensions,49084
E08000035,Leeds,4,Household is deprived in three dimensions,14124
E08000035,Leeds,5,Household is deprived in four dimensions,962
E08000036,Wakefield,-8,Does not apply,0
E08000036,Wakefield,1,Household is not deprived in any dimension,68485
E08000036,Wakefield,2,Household is deprived in one dimension,51797
E08000036,Wakefield,3,Household is deprived in two dimensions,25294
E08000036,Wakefield,4,Household is deprived in three dimensions,7240
E08000036,Wakefield,5,Household is deprived in four dimensions,260
E08000037,Gateshead,-8,Does not apply,0
E08000037,Gateshead,1,Household is not deprived in any dimension,39877
E08000037,Gateshead,2,Household is deprived in one dimension,29733
E08000037,Gateshead,3,Household is deprived in two dimensions,14850
E08000037,Gateshead,4,Household is deprived in three dimensions,4376
E08000037,Gateshead,5,Household is deprived in four dimensions,163
E09000001,City of London,-8,Does not apply,0
E09000001,City of London,1,Household is not deprived in any dimension,2937
E09000001,City of London,2,Household is deprived in one dimension,1547
E09000001,City of London,3,Household is deprived in two dimensions,347
E09000001,City of London,4,Household is deprived in three dimensions,75
E09000001,City of London,5,Household is deprived in four dimensions,8
E09000002,Barking and Dagenham,-8,Does not apply,0
E09000002,Barking and Dagenham,1,Household is not deprived in any dimension,27781
E09000002,Barking and Dagenham,2,Household is deprived in one dimension,27396
E09000002,Barking and Dagenham,3,Household is deprived in two dimensions,14090
E09000002,Barking and Dagenham,4,Household is deprived in three dimensions,4348
E09000002,Barking and Dagenham,5,Household is deprived in four dimensions,287
E09000003,Barnet,-8,Does not apply,0
E09000003,Barnet,1,Household is not deprived in any dimension,73825
E09000003,Barnet,2,Household is deprived in one dimension,49136
E09000003,Barnet,3,Household is deprived in two dimensions,19877
E09000003,Barnet,4,Household is deprived in three dimensions,5415
E09000003,Barnet,5,Household is deprived in four dimensions,668
E09000004,Bexley,-8,Does not apply,0
E09000004,Bexley,1,Household is not deprived in any dimension,46238
E09000004,Bexley,2,Household is deprived in one dimension,32625
E09000004,Bexley,3,Household is deprived in two dimensions,13232
E09000004,Bexley,4,Household is deprived in three dimensions,2998
E09000004,Bexley,5,Household is deprived in four dimensions,206
E09000005,Brent,-8,Does not apply,0
E09000005,Brent,1,Household is not deprived in any dimension,47376
E09000005,Brent,2,Household is deprived in one dimension,43300
E09000005,Brent,3,Household is deprived in two dimensions,21017
E09000005,Brent,4,Household is deprived in three dimensions,6328
E09000005,Brent,5,Household is deprived in four dimensions,591
E09000006,Bromley,-8,Does not apply,0
E09000006,Bromley,1,Household is not deprived in any dimension,74219
E09000006,Bromley,2,Household is deprived in one dimension,42434
E09000006,Bromley,3,Household is deprived in two dimensions,15360
E09000006,Bromley,4,Household is deprived in three dimensions,3586
E09000006,Bromley,5,Household is deprived in four dimensions,228
E09000007,Camden,-8,Does not apply,0
E09000007,Camden,1,Household is not deprived in any dimension,44082
E09000007,Camden,2,Household is deprived in one dimension,29601
E09000007,Camden,3,Household is deprived in two dimensions,13535
E09000007,Camden,4,Household is deprived in three dimensions,4938
E09000007,Camden,5,Household is deprived in four dimensions,603
E09000008,Croydon,-8,Does not apply,0
E09000008,Croydon,1,Household is not deprived in any dimension,73406
E09000008,Croydon,2,Household is deprived in one dimension,51772
E09000008,Croydon,3,Household is deprived in two dimensions,21635
E09000008,Croydon,4,Household is deprived in three dimensions,5581
E09000008,Croydon,5,Household is deprived in four dimensions,552
E09000009,Ealing,-8,Does not apply,0
E09000009,Ealing,1,Household is not deprived in any dimension,61529
E09000009,Ealing,2,Household is deprived in one dimension,45650
E09000009,Ealing,3,Household is deprived in two dimensions,20275
E09000009,Ealing,4,Household is deprived in three dimensions,5686
E09000009,Ealing,5,Household is deprived in four dimensions,518
E09000010,Enfield,-8,Does not apply,0
E09000010,Enfield,1,Household is not deprived in any dimension,51013
E09000010,Enfield,2,Household is deprived in one dimension,43120
E09000010,Enfield,3,Household is deprived in two dimensions,20209
E09000010,Enfield,4,Household is deprived in three dimensions,6012
E09000010,Enfield,5,Household is deprived in four dimensions,566
E09000011,Greenwich,-8,Does not apply,0
E09000011,Greenwich,1,Household is not deprived in any dimension,55023
E09000011,Greenwich,2,Household is deprived in one dimension,36622
E09000011,Greenwich,3,Household is deprived in two dimensions,16597
E09000011,Greenwich,4,Household is deprived in three dimensions,5382
E09000011,Greenwich,5,Household is deprived in four dimensions,428
E09000012,Hackney,-8,Does not apply,0
E09000012,Hackney,1,Household is not deprived in any dimension,47686
E09000012,Hackney,2,Household is deprived in one dimension,34486
E09000012,Hackney,3,Household is deprived in two dimensions,16971
E09000012,Hackney,4,Household is deprived in three dimensions,6333
E09000012,Hackney,5,Household is deprived in four dimensions,605
E09000013,Hammersmith and Fulham,-8,Does not apply,0
E09000013,Hammersmith and Fulham,1,Household is not deprived in any dimension,41748
E09000013,Hammersmith and Fulham,2,Household is deprived in one dimension,25243
E09000013,Hammersmith and Fulham,3,Household is deprived in two dimensions,10555
E09000013,Hammersmith and Fulham,4,Household is deprived in three dimensions,3319
E09000013,Hammersmith and Fulham,5,Household is deprived in four dimensions,379
E09000014,Haringey,-8,Does not apply,0
E09000014,Haringey,1,Household is not deprived in any dimension,45524
E09000014,Haringey,2,Household is deprived in one dimension,35580
E09000014,Haringey,3,Household is deprived in two dimensions,17629
E09000014,Haringey,4,Household is deprived in three dimensions,5755
E09000014,Haringey,5,Household is deprived in four dimensions,607
E09000015,Harrow,-8,Does not apply,0
E09000015,Harrow,1,Household is not deprived in any dimension,43681
E09000015,Harrow,2,Household is deprived in one dimension,30953
E09000015,Harrow,3,Household is deprived in two dimensions,12012
E09000015,Harrow,4,Household is deprived in three dimensions,2763
E09000015,Harrow,5,Household is deprived in four dimensions,233
E09000016,Havering,-8,Does not apply,0
E09000016,Havering,1,Household is not deprived in any dimension,47903
E09000016,Havering,2,Household is deprived in one dimension,34966
E09000016,Havering,3,Household is deprived in two dimensions,14859
E09000016,Havering,4,Household is deprived in three dimensions,3337
E09000016,Havering,5,Household is deprived in four dimensions,212
E09000017,Hillingdon,-8,Does not apply,0
E09000017,Hillingdon,1,Household is not deprived in any dimension,50136
E09000017,Hillingdon,2,Household is deprived in one dimension,38207
E09000017,Hillingdon,3,Household is deprived in two dimensions,16448
E09000017,Hillingdon,4,Household is deprived in three dimensions,4110
E09000017,Hillingdon,5,Household is deprived in four dimensions,327
E09000018,Hounslow,-8,Does not apply,0
E09000018,Hounslow,1,Household is not deprived in any dimension,45406
E09000018,Hounslow,2,Household is deprived in one dimension,36270
E09000018,Hounslow,3,Household is deprived in two dimensions,16488
E09000018,Hounslow,4,Household is deprived in three dimensions,4377
E09000018,Hounslow,5,Household is deprived in four dimensions,420
E09000019,Islington,-8,Does not apply,0
E09000019,Islington,1,Household is not deprived in any dimension,46657
E09000019,Islington,2,Household is deprived in one dimension,29403
E09000019,Islington,3,Household is deprived in two dimensions,14577
E09000019,Islington,4,Household is deprived in three dimensions,5409
E09000019,Islington,5,Household is deprived in four dimensions,450
E09000020,Kensington and Chelsea,-8,Does not apply,0
E09000020,Kensington and Chelsea,1,Household is not deprived in any dimension,35174
E09000020,Kensington and Chelsea,2,Household is deprived in one dimension,20245
E09000020,Kensington and Chelsea,3,Household is deprived in two dimensions,8121
E09000020,Kensington and Chelsea,4,Household is deprived in three dimensions,2918
E09000020,Kensington and Chelsea,5,Household is deprived in four dimensions,426
E09000021,Kingston upon Thames,-8,Does not apply,0
E09000021,Kingston upon Thames,1,Household is not deprived in any dimension,36639
E09000021,Kingston upon Thames,2,Household is deprived in one dimension,20274
E09000021,Kingston upon Thames,3,Household is deprived in two dimensions,7045
E09000021,Kingston upon Thames,4,Household is deprived in three dimensions,1552
E09000021,Kingston upon Thames,5,Household is deprived in four dimensions,116
E09000022,Lambeth,-8,Does not apply,0
E09000022,Lambeth,1,Household is not deprived in any dimension,67366
E09000022,Lambeth,2,Household is deprived in one dimension,42725
E09000022,Lambeth,3,Household is deprived in two dimensions,18625
E09000022,Lambeth,4,Household is deprived in three dimensions,5499
E09000022,Lambeth,5,Household is deprived in four dimensions,473
E09000023,Lewisham,-8,Does not apply,0
E09000023,Lewisham,1,Household is not deprived in any dimension,57783
E09000023,Lewisham,2,Household is deprived in one dimension,39762
E09000023,Lewisham,3,Household is deprived in two dimensions,18556
E09000023,Lewisham,4,Household is deprived in three dimensions,5755
E09000023,Lewisham,5,Household is deprived in four dimensions,536
E09000024,Merton,-8,Does not apply,0
E09000024,Merton,1,Household is not deprived in any dimension,44057
E09000024,Merton,2,Household is deprived in one dimension,25596
E09000024,Merton,3,Household is deprived in two dimensions,9632
E09000024,Merton,4,Household is deprived in three dimensions,2276
E09000024,Merton,5,Household is deprived in four dimensions,168
E09000025,Newham,-8,Does not apply,0
E09000025,Newham,1,Household is not deprived in any dimension,45399
E09000025,Newham,2,Household is deprived in one dimension,41296
E09000025,Newham,3,Household is deprived in two dimensions,21230
E09000025,Newham,4,Household is deprived in three dimensions,7081
E09000025,Newham,5,Household is deprived in four dimensions,501
E09000026,Redbridge,-8,Does not apply,0
E09000026,Redbridge,1,Household is not deprived in any dimension,47994
E09000026,Redbridge,2,Household is deprived in one dimension,36254
E09000026,Redbridge,3,Household is deprived in two dimensions,15319
E09000026,Redbridge,4,Household is deprived in three dimensions,3869
E09000026,Redbridge,5,Household is deprived in four dimensions,277
E09000027,Richmond upon Thames,-8,Does not apply,0
E09000027,Richmond upon Thames,1,Household is not deprived in any dimension,49261
E09000027,Richmond upon Thames,2,Household is deprived in one dimension,22644
E09000027,Richmond upon Thames,3,Household is deprived in two dimensions,6992
E09000027,Richmond upon Thames,4,Household is deprived in three dimensions,1678
E09000027,Richmond upon Thames,5,Household is deprived in four dimensions,130
E09000028,Southwark,-8,Does not apply,0
E09000028,Southwark,1,Household is not deprived in any dimension,63507
E09000028,Southwark,2,Household is deprived in one dimension,41817
E09000028,Southwark,3,Household is deprived in two dimensions,19018
E09000028,Southwark,4,Household is deprived in three dimensions,6066
E09000028,Southwark,5,Household is deprived in four dimensions,410
E09000029,Sutton,-8,Does not apply,0
E09000029,Sutton,1,Household is not deprived in any dimension,41892
E09000029,Sutton,2,Household is deprived in one dimension,27257
E09000029,Sutton,3,Household is deprived in two dimensions,10463
E09000029,Sutton,4,Household is deprived in three dimensions,2549
E09000029,Sutton,5,Household is deprived in four dimensions,187
E09000030,Tower Hamlets,-8,Does not apply,0
E09000030,Tower Hamlets,1,Household is not deprived in any dimension,55936
E09000030,Tower Hamlets,2,Household is deprived in one dimension,38337
E09000030,Tower Hamlets,3,Household is deprived in two dimensions,18685
E09000030,Tower Hamlets,4,Household is deprived in three dimensions,7054
E09000030,Tower Hamlets,5,Household is deprived in four dimensions,527
E09000031,Waltham Forest,-8,Does not apply,0
E09000031,Waltham Forest,1,Household is not deprived in any dimension,46576
E09000031,Waltham Forest,2,Household is deprived in one dimension,34786
E09000031,Waltham Forest,3,Household is deprived in two dimensions,16559
E09000031,Waltham Forest,4,Household is deprived in three dimensions,4600
E09000031,Waltham Forest,5,Household is deprived in four dimensions,380
E09000032,Wandsworth,-8,Does not apply,0
E09000032,Wandsworth,1,Household is not deprived in any dimension,80186
E09000032,Wandsworth,2,Household is deprived in one dimension,38272
E09000032,Wandsworth,3,Household is deprived in two dimensions,14425
E09000032,Wandsworth,4,Household is deprived in three dimensions,4113
E09000032,Wandsworth,5,Household is deprived in four dimensions,396
E09000033,Westminster,-8,Does not apply,0
E09000033,Westminster,1,Household is not deprived in any dimension,47540
E09000033,Westminster,2,Household is deprived in one dimension,28839
E09000033,Westminster,3,Household is deprived in two dimensions,12728
E09000033,Westminster,4,Household is deprived in three dimensions,5025
E09000033,Westminster,5,Household is deprived in four dimensions,683
E10000003,Cambridgeshire,-8,Does not apply,0
E10000003,Cambridgeshire,1,Household is not deprived in any dimension,148224
E10000003,Cambridgeshire,2,Household is deprived in one dimension,90739
E10000003,Cambridgeshire,3,Household is deprived in two dimensions,31707
E10000003,Cambridgeshire,4,Household is deprived in three dimensions,6638
E10000003,Cambridgeshire,5,Household is deprived in four dimensions,326
E10000006,Cumbria,-8,Does not apply,0
E10000006,Cumbria,1,Household is not deprived in any dimension,114000
E10000006,Cumbria,2,Household is deprived in one dimension,76788
E10000006,Cumbria,3,Household is deprived in two dimensions,30394
E10000006,Cumbria,4,Household is deprived in three dimensions,7497
E10000006,Cumbria,5,Household is deprived in four dimensions,275
E10000007,Derbyshire,-8,Does not apply,0
E10000007,Derbyshire,1,Household is not deprived in any dimension,172722
E10000007,Derbyshire,2,Household is deprived in one dimension,118737
E10000007,Derbyshire,3,Household is deprived in two dimensions,50238
E10000007,Derbyshire,4,Household is deprived in three dimensions,12030
E10000007,Derbyshire,5,Household is deprived in four dimensions,484
E10000008,Devon,-8,Does not apply,0
E10000008,Devon,1,Household is not deprived in any dimension,174977
E10000008,Devon,2,Household is deprived in one dimension,122461
E10000008,Devon,3,Household is deprived in two dimensions,45351
E10000008,Devon,4,Household is deprived in three dimensions,9209
E10000008,Devon,5,Household is deprived in four dimensions,621
E10000011,East Sussex,-8,Does not apply,0
E10000011,East Sussex,1,Household is not deprived in any dimension,112726
E10000011,East Sussex,2,Household is deprived in one dimension,84740
E10000011,East Sussex,3,Household is deprived in two dimensions,34184
E10000011,East Sussex,4,Household is deprived in three dimensions,7807
E10000011,East Sussex,5,Household is deprived in four dimensions,661
E10000012,Essex,-8,Does not apply,0
E10000012,Essex,1,Household is not deprived in any dimension,307011
E10000012,Essex,2,Household is deprived in one dimension,213515
E10000012,Essex,3,Household is deprived in two dimensions,85342
E10000012,Essex,4,Household is deprived in three dimensions,19278
E10000012,Essex,5,Household is deprived in four dimensions,1326
E10000013,Gloucestershire,-8,Does not apply,0
E10000013,Gloucestershire,1,Household is not deprived in any dimension,149300
E10000013,Gloucestershire,2,Household is deprived in one dimension,90984
E10000013,Gloucestershire,3,Household is deprived in two dimensions,31889
E10000013,Gloucestershire,4,Household is deprived in three dimensions,6845
E10000013,Gloucestershire,5,Household is deprived in four dimensions,411
E10000014,Hampshire,-8,Does not apply,0
E10000014,Hampshire,1,Household is not deprived in any dimension,315968
E10000014,Hampshire,2,Household is deprived in one dimension,191865
E10000014,Hampshire,3,Household is deprived in two dimensions,65775
E10000014,Hampshire,4,Household is deprived in three dimensions,13220
E10000014,Hampshire,5,Household is deprived in four dimensions,866
E10000015,Hertfordshire,-8,Does not apply,0
E10000015,Hertfordshire,1,Household is not deprived in any dimension,258981
E10000015,Hertfordshire,2,Household is deprived in one dimension,154819
E10000015,Hertfordshire,3,Household is deprived in two dimensions,55829
E10000015,Hertfordshire,4,Household is deprived in three dimensions,12340
E10000015,Hertfordshire,5,Household is deprived in four dimensions,925
E10000016,Kent,-8,Does not apply,0
E10000016,Kent,1,Household is not deprived in any dimension,315366
E10000016,Kent,2,Household is deprived in one dimension,219861
E10000016,Kent,3,Household is deprived in two dimensions,89984
E10000016,Kent,4,Household is deprived in three dimensions,21581
E10000016,Kent,5,Household is deprived in four dimensions,1601
E10000017,Lancashire,-8,Does not apply,0
E10000017,Lancashire,1,Household is not deprived in any dimension,252315
E10000017,Lancashire,2,Household is deprived in one dimension,176691
E10000017,Lancashire,3,Household is deprived in two dimensions,75268
E10000017,Lancashire,4,Household is deprived in three dimensions,19939
E10000017,Lancashire,5,Household is deprived in four dimensions,1034
E10000018,Leicestershire,-8,Does not apply,0
E10000018,Leicestershire,1,Household is not deprived in any dimension,156992
E10000018,Leicestershire,2,Household is deprived in one dimension,97369
E10000018,Leicestershire,3,Household is deprived in two dimensions,35066
E10000018,Leicestershire,4,Household is deprived in three dimensions,6682
E10000018,Leicestershire,5,Household is deprived in four dimensions,299
E10000019,Lincolnshire,-8,Does not apply,0
E10000019,Lincolnshire,1,Household is not deprived in any dimension,154886
E10000019,Lincolnshire,2,Household is deprived in one dimension,117909
E10000019,Lincolnshire,3,Household is deprived in two dimensions,49200
E10000019,Lincolnshire,4,Household is deprived in three dimensions,10973
E10000019,Lincolnshire,5,Household is deprived in four dimensions,584
E10000020,Norfolk,-8,Does not apply,0
E10000020,Norfolk,1,Household is not deprived in any dimension,185744
E10000020,Norfolk,2,Household is deprived in one dimension,145026
E10000020,Norfolk,3,Household is deprived in two dimensions,59320
E10000020,Norfolk,4,Household is deprived in three dimensions,13468
E10000020,Norfolk,5,Household is deprived in four dimensions,783
E10000023,North Yorkshire,-8,Does not apply,0
E10000023,North Yorkshire,1,Household is not deprived in any dimension,146295
E10000023,North Yorkshire,2,Household is deprived in one dimension,90469
E10000023,North Yorkshire,3,Household is deprived in two dimensions,31146
E10000023,North Yorkshire,4,Household is deprived in three dimensions,6141
E10000023,North Yorkshire,5,Household is deprived in four dimensions,330
E10000024,Nottinghamshire,-8,Does not apply,0
E10000024,Nottinghamshire,1,Household is not deprived in any dimension,173688
E10000024,Nottinghamshire,2,Household is deprived in one dimension,119397
E10000024,Nottinghamshire,3,Household is deprived in two dimensions,51286
E10000024,Nottinghamshire,4,Household is deprived in three dimensions,12217
E10000024,Nottinghamshire,5,Household is deprived in four dimensions,534
E10000025,Oxfordshire,-8,Does not apply,0
E10000025,Oxfordshire,1,Household is not deprived in any dimension,161160
E10000025,Oxfordshire,2,Household is deprived in one dimension,91334
E10000025,Oxfordshire,3,Household is deprived in two dimensions,29194
E10000025,Oxfordshire,4,Household is deprived in three dimensions,6047
E10000025,Oxfordshire,5,Household is deprived in four dimensions,373
E10000027,Somerset,-8,Does not apply,0
E10000027,Somerset,1,Household is not deprived in any dimension,125035
E10000027,Somerset,2,Household is deprived in one dimension,86027
E10000027,Somerset,3,Household is deprived in two dimensions,31969
E10000027,Somerset,4,Household is deprived in three dimensions,6762
E10000027,Somerset,5,Household is deprived in four dimensions,329
E10000028,Staffordshire,-8,Does not apply,0
E10000028,Staffordshire,1,Household is not deprived in any dimension,184769
E10000028,Staffordshire,2,Household is deprived in one dimension,126301
E10000028,Staffordshire,3,Household is deprived in two dimensions,52232
E10000028,Staffordshire,4,Household is deprived in three dimensions,11443
E10000028,Staffordshire,5,Household is deprived in four dimensions,476
E10000029,Suffolk,-8,Does not apply,0
E10000029,Suffolk,1,Household is not deprived in any dimension,161385
E10000029,Suffolk,2,Household is deprived in one dimension,117240
E10000029,Suffolk,3,Household is deprived in two dimensions,44498
E10000029,Suffolk,4,Household is deprived in three dimensions,9860
E10000029,Suffolk,5,Household is deprived in four dimensions,560
E10000030,Surrey,-8,Does not apply,0
E10000030,Surrey,1,Household is not deprived in any dimension,275021
E10000030,Surrey,2,Household is deprived in one dimension,148618
E10000030,Surrey,3,Household is deprived in two dimensions,47777
E10000030,Surrey,4,Household is deprived in three dimensions,9670
E10000030,Surrey,5,Household is deprived in four dimensions,733
E10000031,Warwickshire,-8,Does not apply,0
E10000031,Warwickshire,1,Household is not deprived in any dimension,133179
E10000031,Warwickshire,2,Household is deprived in one dimension,82567
E10000031,Warwickshire,3,Household is deprived in two dimensions,30302
E10000031,Warwickshire,4,Household is deprived in three dimensions,6844
E10000031,Warwickshire,5,Household is deprived in four dimensions,370
E10000032,West Sussex,-8,Does not apply,0
E10000032,West Sussex,1,Household is not deprived in any dimension,191152
E10000032,West Sussex,2,Household is deprived in one dimension,127067
E10000032,West Sussex,3,Household is deprived in two dimensions,46547
E10000032,West Sussex,4,Household is deprived in three dimensions,9638
E10000032,West Sussex,5,Household is deprived in four dimensions,812
E10000034,Worcestershire,-8,Does not apply,0
E10000034,Worcestershire,1,Household is not deprived in any dimension,130846
E10000034,Worcestershire,2,Household is deprived in one dimension,87278
E10000034,Worcestershire,3,Household is deprived in two dimensions,33757
E10000034,Worcestershire,4,Household is deprived in three dimensions,7594
E10000034,Worcestershire,5,Household is deprived in four dimensions,458
W06000001,Isle of Anglesey,-8,Does not apply,0
W06000001,Isle of Anglesey,1,Household is not deprived in any dimension,14683
W06000001,Isle of Anglesey,2,Household is deprived in one dimension,10519
W06000001,Isle of Anglesey,3,Household is deprived in two dimensions,4533
W06000001,Isle of Anglesey,4,Household is deprived in three dimensions,1057
W06000001,Isle of Anglesey,5,Household is deprived in four dimensions,30
W06000002,Gwynedd,-8,Does not apply,0
W06000002,Gwynedd,1,Household is not deprived in any dimension,25361
W06000002,Gwynedd,2,Household is deprived in one dimension,17040
W06000002,Gwynedd,3,Household is deprived in two dimensions,7064
W06000002,Gwynedd,4,Household is deprived in three dimensions,1573
W06000002,Gwynedd,5,Household is deprived in four dimensions,67
W06000003,Conwy,-8,Does not apply,0
W06000003,Conwy,1,Household is not deprived in any dimension,24098
W06000003,Conwy,2,Household is deprived in one dimension,18173
W06000003,Conwy,3,Household is deprived in two dimensions,7918
W06000003,Conwy,4,Household is deprived in three dimensions,1956
W06000003,Conwy,5,Household is deprived in four dimensions,90
W06000004,Denbighshire,-8,Does not apply,0
W06000004,Denbighshire,1,Household is not deprived in any dimension,18992
W06000004,Denbighshire,2,Household is deprived in one dimension,14579
W06000004,Denbighshire,3,Household is deprived in two dimensions,6929
W06000004,Denbighshire,4,Household is deprived in three dimensions,1785
W06000004,Denbighshire,5,Household is deprived in four dimensions,102
W06000005,Flintshire,-8,Does not apply,0
W06000005,Flintshire,1,Household is not deprived in any dimension,32748
W06000005,Flintshire,2,Household is deprived in one dimension,22435
W06000005,Flintshire,3,Household is deprived in two dimensions,9486
W06000005,Flintshire,4,Household is deprived in three dimensions,2155
W06000005,Flintshire,5,Household is deprived in four dimensions,87
W06000006,Wrexham,-8,Does not apply,0
W06000006,Wrexham,1,Household is not deprived in any dimension,27134
W06000006,Wrexham,2,Household is deprived in one dimension,19578
W06000006,Wrexham,3,Household is deprived in two dimensions,8774
W06000006,Wrexham,4,Household is deprived in three dimensions,2333
W06000006,Wrexham,5,Household is deprived in four dimensions,95
W06000008,Ceredigion,-8,Does not apply,0
W06000008,Ceredigion,1,Household is not deprived in any dimension,14553
W06000008,Ceredigion,2,Household is deprived in one dimension,11019
W06000008,Ceredigion,3,Household is deprived in two dimensions,4395
W06000008,Ceredigion,4,Household is deprived in three dimensions,898
W06000008,Ceredigion,5,Household is deprived in four dimensions,28
W06000009,Pembrokeshire,-8,Does not apply,0
W06000009,Pembrokeshire,1,Household is not deprived in any dimension,25547
W06000009,Pembrokeshire,2,Household is deprived in one dimension,19262
W06000009,Pembrokeshire,3,Household is deprived in two dimensions,8565
W06000009,Pembrokeshire,4,Household is deprived in three dimensions,2017
W06000009,Pembrokeshire,5,Household is deprived in four dimensions,97
W06000010,Carmarthenshire,-8,Does not apply,0
W06000010,Carmarthenshire,1,Household is not deprived in any dimension,37050
W06000010,Carmarthenshire,2,Household is deprived in one dimension,27869
W06000010,Carmarthenshire,3,Household is deprived in two dimensions,13425
W06000010,Carmarthenshire,4,Household is deprived in three dimensions,3324
W06000010,Carmarthenshire,5,Household is deprived in four dimensions,91
W06000011,Swansea,-8,Does not apply,0
W06000011,Swansea,1,Household is not deprived in any dimension,47764
W06000011,Swansea,2,Household is deprived in one dimension,34960
W06000011,Swansea,3,Household is deprived in two dimensions,16952
W06000011,Swansea,4,Household is deprived in three dimensions,5106
W06000011,Swansea,5,Household is deprived in four dimensions,180
W06000012,Neath Port Talbot,-8,Does not apply,0
W06000012,Neath Port Talbot,1,Household is not deprived in any dimension,25834
W06000012,Neath Port Talbot,2,Household is deprived in one dimension,20716
W06000012,Neath Port Talbot,3,Household is deprived in two dimensions,11856
W06000012,Neath Port Talbot,4,Household is deprived in three dimensions,3858
W06000012,Neath Port Talbot,5,Household is deprived in four dimensions,109
W06000013,Bridgend,-8,Does not apply,0
W06000013,Bridgend,1,Household is not deprived in any dimension,28315
W06000013,Bridgend,2,Household is deprived in one dimension,20477
